absolute_orientation[0],absolute_orientation[1],absolute_orientation[2],angular_velocity[0],angular_velocity[1],angular_velocity[2],linear_acceleration[0],linear_acceleration[1],linear_acceleration[2],acceleration_magnitude,angular_velocity_magnitude,pitch,roll,jerk[0],jerk[1],jerk[2],jerk_magnitude
348.94,1.19,-9.81,0.06,0.69,-0.25,0.15,-0.14,0.0,0.2051828452868319,0.7363423117002037,-0.7509290623979403,-1.5707963267948966,6.0,-4.000000000000001,1.5,7.365459931328118
348.87,1.19,-9.75,-2.75,0.06,0.81,-0.34,0.0,0.02,0.340587727318528,2.867437880756966,0.0,1.512040504079174,-24.5,7.000000000000001,1.0,25.5
348.87,1.12,-9.56,-3.75,0.88,1.06,0.43,-0.13,-0.07,0.4546427168667721,3.9950594488693154,-0.2899860062373464,-1.732171437215588,38.5,-6.5,-4.5,39.303307748839664
348.81,1.12,-9.38,-5.94,0.94,1.75,-0.01,0.11,-0.02,0.1122497216032182,6.263361717161161,1.370249968906391,2.677945044588987,-22.0,12.0,2.5,25.184320518926057
348.69,1.12,-9.13,-3.44,0.06,1.81,-0.34,0.21,0.08,0.4075536774462966,3.887582796545946,0.5413221366658334,1.3397056595989996,-16.5,4.999999999999999,5.0,17.95132307101624
348.62,1.12,-9.06,0.25,0.0,1.12,0.36,-0.13,-0.08,0.391024295920343,1.1475626344561765,-0.33891092076128,-1.7894652726688387,35.0,-16.999999999999996,-8.0,39.72404813208241
348.62,1.12,-9.13,2.19,-0.13,0.06,-0.05,-0.8,0.04,0.8025584090893323,2.19467537462833,-1.4909275365847892,0.8960553845713439,-20.5,-33.5,6.0,39.73034105063786
348.62,1.12,-9.13,-3.87,-0.25,-0.31,-0.4,-1.31,0.22,1.3872634933566157,3.8904369934494505,-1.2354764810164682,1.067953115867036,-17.5,-25.5,9.0,32.21024681681281
348.62,1.12,-8.75,-11.19,0.25,0.06,-0.21,-1.1,-0.02,1.120044641967453,11.192953140257488,-1.3813237737759376,1.6657480331376529,9.500000000000002,10.499999999999998,-12.0,18.560711193270585
348.62,1.12,-8.06,-20.25,0.81,-1.06,-0.02,-0.94,0.17,0.9554580053565932,20.293895633909223,-1.390671659527784,0.1171087445668642,9.5,8.000000000000007,9.5,15.636495771111893
348.69,1.0,-6.94,-27.0,2.12,-1.56,0.02,-0.76,0.13,0.7712976079309465,27.12799292244084,-1.3994286944835326,-0.1526493283952651,2.0,8.999999999999996,-2.0000000000000004,9.4339811320566
1.06,-6.87,103.69,-0.62,-0.56,-0.25,-0.13,0.17,0.28,0.3524202037341219,0.8720665112249181,0.5033682155794715,0.4346702151492447,-7.5,46.5,7.500000000000001,47.69433928675394
1.0,-6.87,103.62,-0.31,-0.56,-0.19,-0.01,0.03,0.25,0.2519920633670831,0.667682559304944,0.1193344011359238,0.03997868712329,6.0,-7.000000000000001,-1.500000000000001,9.340770846134705
1.0,-6.87,103.56,0.06,-0.19,-0.19,-0.08,-0.03,0.25,0.2641968962724581,0.2753179979587241,-0.1137971236905152,0.3097029445424562,-3.5000000000000004,-3.0,0.0,4.609772228646444
0.94,-6.94,103.5,0.25,0.19,-0.06,-0.09,-0.21,0.27,0.3536947836765479,0.3196873472629156,-0.6356892272530851,0.3217505543966422,-0.4999999999999997,-9.0,1.0000000000000009,9.069178573608529
0.94,-6.94,103.44,0.44,-0.06,0.13,-0.04,-0.09,0.29,0.3062678566222711,0.4627094120503709,-0.2982630780507252,0.1370661743101876,2.5,6.0,0.999999999999998,6.576473218982952
0.94,-6.94,103.31,-0.13,-0.13,0.0,-0.03,0.06,0.35,0.3563705936241091,0.1838477631085023,0.1691698016184423,0.0855052936782046,0.5000000000000001,7.5,3.0,8.093207028119323
0.94,-6.94,103.25,-0.31,-0.44,-0.06,-0.03,0.02,0.32,0.3220248437620924,0.5415717865620402,0.0621470062295564,0.0934767811585894,0.0,-2.0,-1.4999999999999984,2.4999999999999987
0.94,-6.94,103.19,-0.06,-0.37,-0.06,-0.04,-0.08,0.29,0.3034798181098703,0.3796050579220461,-0.266761594495964,0.1370661743101876,-0.5000000000000001,-5.0,-1.500000000000001,5.244044240850758
0.88,-7.0,103.12,0.13,-0.31,0.0,-0.04,-0.13,0.29,0.3203123475609393,0.3361547262794322,-0.4179128926349387,0.1370661743101876,0.0,-2.5,0.0,2.5
0.88,-7.0,103.0,0.06,0.0,0.0,-0.03,-0.06,0.27,0.2782085548648711,0.06,-0.2173733645709676,0.1106572211738956,0.5000000000000001,3.5000000000000004,-0.999999999999998,3.6742346141747673
0.88,-7.0,102.94,-0.19,0.0,0.06,-0.04,0.02,0.31,0.3132091952673165,0.1992485884517127,0.0638985600518726,0.1283232276857948,-0.5000000000000001,4.0,1.999999999999999,4.5
0.75,-7.12,102.12,-0.06,0.06,0.0,0.0,0.11,0.14,0.1780449381476485,0.0848528137423857,0.6659692373791098,-0.0,2.0,4.5,-8.499999999999998,9.82344135219425
