temperature,humidity,pressure,altitude,absolute_orientation[0],absolute_orientation[1],absolute_orientation[2],angular_velocity[0],angular_velocity[1],angular_velocity[2],linear_acceleration[0],linear_acceleration[1],linear_acceleration[2],acceleration_magnitude,angular_velocity_magnitude,pitch,roll,jerk[0],jerk[1],jerk[2],jerk_magnitude,fall
0.0,0.0,0.0,0.0,14.0,-6.69,75.56,24.12,8.06,-13.56,0.06,1.59,0.43,1.6482111515215518,28.82033310008752,1.304234338216144,-0.138639737134158,-61.0,117.5,-178.99999999999997,222.6392822482142,0
0.0,0.0,0.0,0.0,15.06,-6.12,73.94,39.06,7.25,-7.25,-0.7,0.43,0.42,0.9226592003551474,40.38327128898797,0.4848144881088893,1.0303768265243125,-38.0,-58.00000000000001,-0.5000000000000004,69.34154598795733,0
0.0,0.0,0.0,0.0,15.69,-5.94,72.25,36.31,1.62,-9.06,0.07,-0.96,0.71,1.1960769206033532,37.45829814607172,-0.9316813317329836,-0.0982739532560091,38.5,-69.5,14.499999999999998,80.76354375583082,0
0.0,0.0,0.0,0.0,16.0,-5.94,70.81,27.37,8.06,3.56,-0.59,0.91,0.96,1.4483784035948617,28.75333198083311,0.6793517737830009,0.5510735872452175,-32.99999999999999,93.5,12.5,99.93748045653342,0
0.0,0.0,0.0,0.0,352.94,-5.25,68.19,0.13,0.06,0.13,-0.02,0.0,0.12,0.1216552506059644,0.1933907960581371,0.0,0.1651486774146268,28.5,-45.5,-42.0,68.16524040887701,0
0.0,0.0,0.0,0.0,352.94,-5.25,68.19,0.06,-0.19,0.0,-0.02,0.02,0.1,0.1039230484541326,0.1992485884517127,0.1936583004443266,0.1973955598498807,0.0,1.0,-0.9999999999999994,1.4142135623730947,0
0.0,0.0,0.0,0.0,352.94,-5.25,68.19,-0.06,-0.19,0.06,-0.03,0.08,0.06,0.1044030650891055,0.2080865204668481,0.873001640217571,0.4636476090008061,-0.4999999999999999,3.0,-2.0000000000000004,3.64005494464026,0
0.0,0.0,0.0,0.0,352.94,-5.25,68.19,-0.13,0.06,0.0,-0.02,0.1,0.09,0.1360147050873544,0.1431782106327635,0.8259832557410993,0.2186689458739419,0.4999999999999999,1.0000000000000002,1.5,1.8708286933869709,0
0.0,0.0,0.0,0.0,352.94,-5.25,68.19,-0.13,-0.19,-0.06,-0.01,0.01,0.1,0.1009950493836207,0.2379075450674063,0.0991772610794023,0.099668652491162,0.5,-4.5,0.5000000000000004,4.55521678957215,0
0.0,0.0,0.0,0.0,352.94,-5.25,68.19,-0.13,-0.06,0.0,-0.03,-0.04,0.12,0.13,0.1431782106327635,-0.312766721941545,0.2449786631268641,-0.9999999999999998,-2.5,0.9999999999999994,2.872281323269014,0
