temperature,humidity,pressure,altitude,absolute_orientation[0],absolute_orientation[1],absolute_orientation[2],angular_velocity[0],angular_velocity[1],angular_velocity[2],linear_acceleration[0],linear_acceleration[1],linear_acceleration[2]
0.0,0.0,0.0,0.0,4.62,-4.75,57.13,0.06,-0.88,0.37,0.08,0.16,-0.05
0.0,0.0,0.0,0.0,4.62,-4.75,57.13,-0.06,-0.62,0.5,-0.02,0.22,0.05
0.0,0.0,0.0,0.0,4.62,-4.75,57.13,0.0,-0.19,0.25,0.02,0.1,-0.16
0.0,0.0,0.0,0.0,4.62,-4.75,57.13,0.13,0.06,-0.06,0.0,0.05,-0.18
0.0,0.0,0.0,0.0,4.62,-4.75,57.13,0.06,-0.19,0.25,0.02,0.06,-0.2
0.0,0.0,0.0,0.0,4.62,-4.75,57.19,0.13,-0.56,0.37,-0.02,0.0,-0.16
0.0,0.0,0.0,0.0,4.62,-4.75,57.19,0.19,0.44,-0.31,-0.13,0.16,-0.15
0.0,0.0,0.0,0.0,4.62,-4.75,57.19,0.19,0.37,-0.19,0.04,0.1,-0.12
0.0,0.0,0.0,0.0,4.62,-4.75,57.19,-0.06,0.06,-0.06,-0.09,0.18,0.01
0.0,0.0,0.0,0.0,4.62,-4.81,57.19,0.25,0.94,-0.5,0.05,0.1,-0.13
181.35,0.0,0.0,0.0,1.25,-2.62,93.06,-30.06,4.25,-13.75,1.08,1.63,-2.31
181.35,0.0,0.0,0.0,1.87,-2.06,94.37,-24.06,1.87,-9.69,1.01,2.28,-2.56
181.35,0.0,0.0,0.0,2.37,-1.62,95.25,-14.81,2.0,-8.38,-0.03,1.62,-2.1
181.35,0.0,0.0,0.0,2.87,-1.25,95.69,-5.06,3.06,-7.06,0.0,2.43,-3.71
181.35,0.0,0.0,0.0,3.56,-1.06,95.62,8.13,12.31,-0.94,-1.95,-0.32,0.39
181.35,0.0,0.0,0.0,4.56,-0.69,95.37,24.06,10.0,-4.5,-0.36,-1.83,-3.05
0.0,0.0,0.0,0.0,5.87,-0.37,95.44,3.31,14.06,-8.63,-0.57,1.18,0.0
