temperature,humidity,pressure,altitude,absolute_orientation[0],absolute_orientation[1],absolute_orientation[2],angular_velocity[0],angular_velocity[1],angular_velocity[2],linear_acceleration[0],linear_acceleration[1],linear_acceleration[2],acceleration_magnitude,angular_velocity_magnitude,pitch,roll,jerk[0],jerk[1],jerk[2],jerk_magnitude
0.0,0.0,0.0,0.0,320.0,-62.25,-123.06,-0.06,-0.19,0.06,0.06,0.0,-0.03,0.0670820393249937,0.2080865204668481,0.0,-2.0344439357957027,2.4999999999999996,0.0,0.5000000000000001,2.5495097567963922
0.0,0.0,0.0,0.0,320.0,-62.25,-123.06,0.06,-0.13,-0.06,0.07,-0.01,-0.04,0.08124038404635961,0.15524174696260024,-0.12340446673478643,-2.0899424410414196,0.5000000000000004,-0.5,-0.5000000000000001,0.8660254037844389
0.0,0.0,0.0,0.0,320.0,-62.25,-123.06,-0.06,-0.06,-0.13,0.05,-0.01,-0.05,0.07141428428542851,0.15524174696260024,-0.14048970175352032,-2.356194490192345,-1.0000000000000002,0.0,-0.5000000000000001,1.1180339887498951
0.0,0.0,0.0,0.0,320.0,-62.25,-123.06,0.06,-0.06,0.0,0.03,0.01,-0.05,0.05916079783099616,0.08485281374238571,0.16984628808367366,-2.601173153319209,-1.0000000000000002,1.0,0.0,1.4142135623730951
0.0,0.0,0.0,0.0,320.0,-62.25,-123.06,-0.06,0.25,-0.06,0.03,0.01,-0.05,0.05916079783099616,0.2640075756488817,0.16984628808367366,-2.601173153319209,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,320.0,-62.25,-123.06,-0.06,0.0,0.0,0.05,0.0,-0.07,0.08602325267042628,0.06,0.0,-2.5213431676069717,1.0000000000000002,-0.5,-1.0000000000000002,1.5000000000000002
0.0,0.0,0.0,0.0,320.0,-62.25,-123.06,-0.19,0.06,-0.06,0.07,-0.02,-0.02,0.07549834435270751,0.2080865204668481,-0.2681069272514813,-1.849095985800008,1.0000000000000002,-1.0,2.5,2.8722813232690143
0.0,0.0,0.0,0.0,320.0,-62.25,-123.06,0.0,-0.25,0.0,0.08,0.0,-0.03,0.08544003745317531,0.25,0.0,-1.9295669970654687,0.4999999999999997,1.0,-0.4999999999999999,1.224744871391589
0.0,0.0,0.0,0.0,320.0,-62.25,-123.06,-0.06,0.25,0.13,0.03,0.02,-0.08,0.08774964387392122,0.28809720581775866,0.22994210518698752,-2.782821983319221,-2.5,1.0,-2.5,3.6742346141747673
0.0,0.0,0.0,0.0,320.0,-62.25,-123.06,0.06,0.06,0.0,0.0,0.02,-0.05,0.05385164807134505,0.08485281374238571,0.3805063771123649,-3.141592653589793,-1.5,0.0,1.5,2.1213203435596424
0.0,0.0,0.0,0.0,320.0,-62.25,-123.06,0.19,0.0,0.0,0.01,0.0,-0.08,0.0806225774829855,0.19,0.0,-3.017237659043032,0.5,-1.0,-1.5,1.8708286933869707
0.0,0.0,0.0,0.0,320.0,-62.25,-123.06,0.0,-0.13,-0.06,0.09,0.0,-0.05,0.10295630140987,0.14317821063276354,0.0,-2.077894831187234,4.0,0.0,1.5,4.272001872658765
0.0,0.0,0.0,0.0,320.0,-62.25,-123.06,-0.19,0.13,-0.13,0.07,0.01,-0.09,0.11445523142259598,0.2643860813280457,0.08748194752851833,-2.480549484739106,-0.9999999999999994,0.5,-1.9999999999999996,2.2912878474779195
0.0,0.0,0.0,0.0,320.0,-62.25,-123.06,0.06,0.06,0.06,0.0,0.02,-0.08,0.08246211251235322,0.10392304845413264,0.24497866312686414,-3.141592653589793,-3.5000000000000004,0.5,0.4999999999999997,3.5707142142714257
0.0,0.0,0.0,0.0,320.0,-62.25,-123.06,0.13,0.06,0.0,0.05,0.0,-0.08,0.09433981132056604,0.14317821063276354,0.0,-2.5829933382462307,2.5,-1.0,0.0,2.692582403567252
0.0,0.0,0.0,0.0,320.0,-62.25,-123.06,0.06,0.0,0.0,0.1,-0.01,-0.02,0.10246950765959599,0.06,-0.09774557973398157,-1.7681918866447774,2.5,-0.5,3.0,3.9370039370059056
0.0,0.0,0.0,0.0,320.0,-62.25,-123.06,-0.06,0.06,-0.06,0.07,-0.01,-0.03,0.07681145747868609,0.10392304845413264,-0.1305595098850213,-1.97568811307998,-1.5,0.0,-0.4999999999999999,1.5811388300841898
0.0,0.0,0.0,0.0,320.0,-62.25,-123.06,-0.06,0.13,-0.06,0.01,0.02,-0.09,0.09273618495495704,0.15524174696260024,0.2173733645709677,-3.0309354324158977,-3.0,1.5,-3.0,4.5
0.0,0.0,0.0,0.0,320.0,-62.25,-123.06,0.06,0.19,-0.13,0.0,0.0,-0.08,0.08,0.23790754506740638,0.0,-3.141592653589793,-0.5,-1.0,0.4999999999999997,1.224744871391589
0.0,0.0,0.0,0.0,320.0,-62.25,-123.06,0.0,0.06,0.0,0.02,0.0,-0.06,0.06324555320336758,0.06,0.0,-2.819842099193151,1.0,0.0,1.0000000000000002,1.4142135623730951
0.0,0.0,0.0,0.0,320.0,-62.25,-123.06,0.0,-0.06,-0.06,0.05,-0.01,-0.04,0.06480740698407861,0.08485281374238571,-0.15492231987081348,-2.2455372690184494,1.5,-0.5,0.9999999999999998,1.8708286933869707
0.0,0.0,0.0,0.0,320.0,-62.25,-123.06,0.13,-0.06,0.0,0.06,0.0,-0.06,0.08485281374238571,0.14317821063276354,0.0,-2.356194490192345,0.4999999999999997,0.5,-0.9999999999999998,1.2247448713915887
0.0,0.0,0.0,0.0,317.62,-60.0,-127.0,15.13,16.69,0.88,-0.76,1.35,0.07,1.5508062419270823,22.544342971131364,1.0562476748602312,1.4789502005301591,-41.0,67.5,6.5,79.24329624643336
0.0,0.0,0.0,0.0,317.87,-59.19,-128.56,26.37,19.75,6.0,-0.76,1.56,-0.21,1.7479416466232505,33.487899307063145,1.1028096922522432,1.8403854047158228,0.0,10.499999999999998,-14.000000000000002,17.5
0.0,0.0,0.0,0.0,318.25,-58.0,-130.44,37.19,23.25,11.69,-0.59,1.7,0.01,1.7994999305362587,45.390689573964394,1.2366996206883756,1.5538487969884918,8.500000000000002,6.999999999999995,11.0,15.564382416273379
0.0,0.0,0.0,0.0,319.62,-56.69,-133.19,51.94,25.37,12.75,-0.57,1.5,-0.44,1.6638810053606599,59.19428181843243,1.1232387271027982,2.2281854315191483,1.0000000000000009,-9.999999999999998,-22.5,24.642443060703215
0.0,0.0,0.0,0.0,322.12,-55.31,-136.75,65.37,26.0,14.44,-0.64,0.81,-0.13,1.0404806581575652,71.81748046262832,0.8922506426380972,1.7711948806207751,-3.500000000000003,-34.5,15.5,37.9835490706174
0.0,0.0,0.0,0.0,325.37,-53.88,-140.56,77.75,26.19,12.63,-1.07,-1.94,-0.72,2.3295707759155975,83.00900854726552,-0.9840950500731029,2.1630999790893557,-21.500000000000004,-137.5,-29.499999999999996,142.26296074523404
0.0,0.0,0.0,0.0,328.31,-52.5,-143.44,56.88,20.69,16.19,-0.1,-0.36,1.51,1.5555384919699031,62.6540230152861,-0.23354847321407204,0.06612860336457302,48.5,79.0,111.5,145.00172412768063
0.0,0.0,0.0,0.0,331.62,-51.25,-146.44,59.06,21.5,13.19,-0.47,-0.5,0.59,0.9049861877399014,64.22078869026758,-0.5853541659320115,0.6726705518070707,-18.5,-7.000000000000001,-46.0,50.072447513577764
