absolute_orientation[0],absolute_orientation[1],absolute_orientation[2],angular_velocity[0],angular_velocity[1],angular_velocity[2],linear_acceleration[0],linear_acceleration[1],linear_acceleration[2],acceleration_magnitude,angular_velocity_magnitude,pitch,roll,jerk[0],jerk[1],jerk[2],jerk_magnitude,fall
309.5,-7.0,99.25,-0.06,-1.19,-0.13,-0.15,0.03,0.08,0.1726267650163206,1.19858249611781,0.1746721990082397,1.0808390005411683,-6.0,0.4999999999999999,1.0000000000000002,6.103277807866851,0
309.44,-7.0,99.25,-0.25,-0.31,0.0,-0.09,0.01,0.11,0.14247806848775,0.3982461550347975,0.0702439929197784,0.6857295109062863,3.0,-0.9999999999999998,1.5,3.5,0
323.25,-7.25,98.75,1.31,14.88,2.37,-0.06,0.0,0.33,0.3354101966249684,15.124397508661296,0.0,0.1798534997924782,1.5,-0.5,11.000000000000002,11.113055385446437,0
324.0,-7.25,98.69,1.31,16.12,2.5,-0.05,-0.01,0.27,0.2747726332806817,16.365222271634444,-0.0364017649897159,0.1831108172624841,0.4999999999999997,-0.5,-3.0,3.082207001484488,0
324.81,-7.25,98.69,1.12,14.75,2.44,0.22,-0.02,0.04,0.2244994432064364,14.992348048254485,-0.0892053435475418,-1.3909428270024184,13.5,-0.5,-11.5,17.741194999210173,0
325.5,-7.19,98.75,1.19,11.75,1.69,0.07,-0.1,0.11,0.1643167672515498,11.930410722183876,-0.65427058395952,-0.5667292175235064,-7.5,-4.0,3.5000000000000004,9.192388155425116,0
326.0,-7.19,98.75,0.44,9.0,1.5,0.27,0.08,-0.07,0.2901723625709382,9.134746849256414,0.2793159840519045,-1.82447042293354,10.0,9.0,-9.0,16.186414056238647,0
326.37,-7.19,98.81,0.37,6.31,1.31,-0.02,-0.04,-0.23,0.2343074902771996,6.455160726116739,-0.1715561282544828,3.054854314913808,-14.500000000000002,-6.0,-8.0,17.61391495380854,0
326.69,-7.19,98.87,1.87,6.37,1.0,-0.33,-0.25,-0.5,0.6491532946846993,6.713702406273308,-0.3953346490246137,2.558219646595937,-15.5,-10.5,-13.5,23.08137777516758,0
327.06,-7.19,98.94,0.81,8.5,1.44,0.02,0.04,-0.3,0.303315017762062,8.659081937480439,0.1322613670865541,-3.0750244898139694,17.5,14.499999999999998,10.0,24.82941803587028,0
